WORD,FREQUENCY,PHONEME_LENGTH,MONOMORPHEME,ORTHO_LENGTH,LOG_FREQ,LANG
de,2344641,2,TRUE,2,14.6676428564584,Dutch
zijn,1324747,4,TRUE,4,14.0967320557742,Dutch
het,1222461,2,TRUE,3,14.0163765979818,Dutch
van,1161091,3,TRUE,3,13.9648706383147,Dutch
en,1095181,2,TRUE,2,13.9064302043764,Dutch
een,1084448,2,TRUE,3,13.8965816597362,Dutch
in,823571,2,TRUE,2,13.6214050422482,Dutch
dat,622465,3,TRUE,3,13.3414426808407,Dutch
te,528769,2,TRUE,2,13.1783069425032,Dutch
ik,481765,2,TRUE,2,13.0852117222735,Dutch
hebben,474965,4,TRUE,6,13.0709963960914,Dutch
hij,470924,3,TRUE,3,13.0624520011678,Dutch
op,460551,2,TRUE,2,13.0401788777309,Dutch
die,453164,2,TRUE,3,13.0240093698529,Dutch
niet,399785,3,TRUE,4,12.8986821815852,Dutch
met,385416,3,TRUE,3,12.8620785494094,Dutch
worden,321883,5,TRUE,6,12.6819434044602,Dutch
ze,309696,2,TRUE,2,12.643346450153,Dutch
voor,293908,3,TRUE,4,12.5910220721795,Dutch
maar,274655,3,TRUE,4,12.5232710435932,Dutch
als,272520,3,TRUE,3,12.5154672848876,Dutch
aan,268271,2,TRUE,3,12.4997529426106,Dutch
er,250532,2,TRUE,2,12.4313419358594,Dutch
kunnen,246899,4,TRUE,6,12.4167346251023,Dutch
je,223155,2,TRUE,2,12.3156218762595,Dutch
zullen,221958,4,TRUE,6,12.3102434537667,Dutch
om,205652,2,TRUE,2,12.2339406988726,Dutch
haar,196247,3,TRUE,4,12.1871293489036,Dutch
naar,188631,3,TRUE,4,12.1475480047094,Dutch
ook,183791,2,TRUE,3,12.1215545214372,Dutch
dan,182935,3,TRUE,3,12.1168861774714,Dutch
door,178123,3,TRUE,4,12.0902296018718,Dutch
of,171538,2,TRUE,2,12.0525600953882,Dutch
bij,160906,3,TRUE,3,11.9885756225276,Dutch
zich,158166,3,TRUE,4,11.971400393392,Dutch
wat,152600,3,TRUE,3,11.9355753978325,Dutch
uit,151866,3,TRUE,3,11.9307538320618,Dutch
nog,149233,3,TRUE,3,11.9132641219199,Dutch
zeggen,148830,4,TRUE,6,11.9105599939632,Dutch
moeten,143107,4,TRUE,6,11.8713478811895,Dutch
gaan,137589,3,TRUE,4,11.8320262594254,Dutch
hem,137041,3,TRUE,3,11.8280354301109,Dutch
komen,135035,4,TRUE,5,11.813289283078,Dutch
tot,126926,3,TRUE,3,11.7513595184531,Dutch
over,125459,4,TRUE,4,11.739734290951,Dutch
zo,123668,2,TRUE,2,11.7253558345345,Dutch
mijn,115581,4,TRUE,4,11.6577268618503,Dutch
zij,111121,3,TRUE,3,11.6183749766678,Dutch
deze,106765,4,TRUE,4,11.578385436442,Dutch
we,104690,2,TRUE,2,11.5587588813134,Dutch
geen,103310,3,TRUE,4,11.5454894558435,Dutch
al,100963,2,TRUE,2,11.5225093920721,Dutch
zien,98375,3,TRUE,4,11.4965419857197,Dutch
wel,96976,3,TRUE,3,11.4822188041911,Dutch
dit,94623,3,TRUE,3,11.457655854453,Dutch
doen,92166,3,TRUE,4,11.4313465779772,Dutch
hun,90293,3,TRUE,3,11.4108152170204,Dutch
maken,86305,4,TRUE,5,11.3656428128208,Dutch
nu,85397,2,TRUE,2,11.355066250354,Dutch
ons,84818,3,TRUE,3,11.3482630634061,Dutch
goed,83272,3,TRUE,4,11.3298676371953,Dutch
veel,80966,3,TRUE,4,11.3017845924472,Dutch
ander,79683,5,TRUE,5,11.2858115421521,Dutch
staan,79616,4,TRUE,5,11.2849703566588,Dutch
toen,78164,3,TRUE,4,11.2665644624798,Dutch
willen,76697,4,TRUE,6,11.2476178731615,Dutch
weten,76251,4,TRUE,5,11.2417858091378,Dutch
me,70852,2,TRUE,2,11.1683484733725,Dutch
men,69301,3,TRUE,3,11.1462146150883,Dutch
u,69296,1,TRUE,1,11.1461424634544,Dutch
waar,69052,3,TRUE,4,11.1426151229364,Dutch
mij,67877,3,TRUE,3,11.1254525227321,Dutch
laten,66787,4,TRUE,5,11.1092637298072,Dutch
daar,65639,3,TRUE,4,11.0919253104749,Dutch
weer,65329,3,TRUE,4,11.0871913208142,Dutch
meer,62134,3,TRUE,4,11.0370486221217,Dutch
alleen,60152,4,FALSE,6,11.0046299710579,Dutch
tegen,59816,4,TRUE,5,10.9990284626798,Dutch
denken,58538,5,TRUE,6,10.9774313949885,Dutch
mens,58078,4,TRUE,4,10.9695422136441,Dutch
toch,57175,3,TRUE,4,10.953872018891,Dutch
heel,54723,3,TRUE,4,10.910039375355,Dutch
geven,54472,4,TRUE,5,10.9054420871628,Dutch
hoe,54262,2,TRUE,3,10.9015794450987,Dutch
na,53112,2,TRUE,2,10.880158170399,Dutch
blijven,52837,6,TRUE,7,10.8749669818542,Dutch
groot,51667,4,TRUE,5,10.8525745588254,Dutch
vinden,51631,5,TRUE,6,10.8518775462703,Dutch
kijken,51564,5,TRUE,6,10.850579033563,Dutch
man,50439,3,TRUE,3,10.828519964347,Dutch
onder,50054,5,TRUE,5,10.8208577016298,Dutch
iets,49947,2,TRUE,4,10.818717722213,Dutch
jaar,48452,3,TRUE,4,10.7883288961367,Dutch
hier,47494,3,TRUE,4,10.7683586662547,Dutch
wij,47266,3,TRUE,3,10.7635464999402,Dutch
houden,46508,5,TRUE,6,10.7473796197885,Dutch
leven,46405,4,TRUE,5,10.7451624910295,Dutch
tijd,45945,4,TRUE,4,10.735200307935,Dutch
krijgen,45929,6,TRUE,7,10.7348520048207,Dutch
zitten,45810,4,TRUE,6,10.7322576868808,Dutch
twee,43922,3,TRUE,4,10.6901706124872,Dutch
eens,43724,3,FALSE,4,10.6856524294137,Dutch
nemen,43709,4,TRUE,5,10.6853093095357,Dutch
hand,43573,4,TRUE,4,10.6821929714577,Dutch
lang,42525,3,TRUE,4,10.6578474172641,Dutch
omdat,41484,5,FALSE,5,10.6330630897096,Dutch
tussen,41318,4,TRUE,6,10.6290535193516,Dutch
zoals,41245,6,FALSE,5,10.6272851722948,Dutch
liggen,40957,4,TRUE,6,10.6202780148435,Dutch
kind,40727,4,TRUE,4,10.6146465421478,Dutch
dag,39890,3,TRUE,3,10.5938809448995,Dutch
alle,39647,3,FALSE,4,10.5877705621576,Dutch
af,39022,2,TRUE,2,10.5718808686298,Dutch
eerste,38133,5,FALSE,6,10.5488353279628,Dutch
vrouw,38126,5,TRUE,5,10.5486517430739,Dutch
weg,37355,3,TRUE,3,10.5282220504099,Dutch
zonder,37197,6,TRUE,6,10.523983391848,Dutch
niets,36615,3,FALSE,5,10.5082132714952,Dutch
brengen,36536,5,TRUE,7,10.5060533548648,Dutch
beginnen,36461,6,FALSE,8,10.5039984751741,Dutch
lopen,35539,4,TRUE,5,10.4783859640027,Dutch
toe,35255,2,TRUE,3,10.4703626421531,Dutch
wezen,35204,4,TRUE,5,10.4689149914937,Dutch
alles,34919,4,FALSE,5,10.4607863726592,Dutch
oog,34753,2,TRUE,3,10.4560211782019,Dutch
want,34700,4,TRUE,4,10.454494965935,Dutch
elkaar,34389,5,FALSE,6,10.4454920247831,Dutch
nooit,34126,4,TRUE,5,10.4378148360872,Dutch
vragen,34058,5,TRUE,6,10.4358202325866,Dutch
zelf,33343,4,TRUE,4,10.4146031342602,Dutch
horen,33339,4,TRUE,5,10.4144831618538,Dutch
altijd,33096,6,FALSE,6,10.4071677081412,Dutch
nieuw,32846,3,TRUE,5,10.3995852508975,Dutch
dus,32110,3,TRUE,3,10.3769227870836,Dutch
eigen,31573,4,TRUE,5,10.3600576039616,Dutch
laat,31168,3,TRUE,4,10.3471472064423,Dutch
even,30692,3,TRUE,4,10.3317573132976,Dutch
weinig,30623,6,TRUE,6,10.329506639592,Dutch
eer,30580,2,TRUE,3,10.3281014794831,Dutch
zelfs,30340,5,FALSE,5,10.3202222529025,Dutch
